#Time Stamp Bertram Road - Level (ft) Bertram Road - Rain Fall (in) Bertram Road – Cumul Rain Fall (in) Bertram Road - Temperature (F) Bertram Road - Temperature (F)
#1 2 3 4 5 6 7
11/25/2014 13:15 0.99 0 0  0
11/25/2014 13:20  0 0  0
11/25/2014 13:25  0 0  0
11/25/2014 13:30 0.99 0 0  0
11/25/2014 13:35  0 0  0
11/25/2014 13:40  0 0  0
11/25/2014 13:45 0.99 0 0  0
11/25/2014 13:50  0 0  0
11/25/2014 13:55  0 0  0
11/25/2014 14:00 0.99 0 0 59 59
11/25/2014 14:05  0 0  0
11/25/2014 14:10  0 0  0
11/25/2014 14:15 0.98 0 0  0
11/25/2014 14:20  0 0  0
11/25/2014 14:25  0 0  0
11/25/2014 14:30 0.98 0 0  0
11/25/2014 14:35  0 0  0
11/25/2014 14:40  0 0  0
11/25/2014 14:45 0.98 0.01 0.01  0
11/25/2014 14:50  0 0.01  0
11/25/2014 14:55  0 0.01  0
11/25/2014 15:00 0.97 0 0.01 57 57
11/25/2014 15:05  0 0.01  0
11/25/2014 15:10  0.01 0.02  0
11/25/2014 15:15 0.97 0 0.02  0
11/25/2014 15:20  0 0.02  0
11/25/2014 15:25  0.01 0.03  0
11/25/2014 15:30 0.97 0 0.03  0
11/25/2014 15:35  0 0.03  0
11/25/2014 15:40  0 0.03  0
11/25/2014 15:45 0.97 0 0.03  0
11/25/2014 15:50  0 0  0
11/25/2014 15:55  0.01 0.01  0
11/25/2014 16:00 0.97 0 0.01 56 56
11/25/2014 16:05  0 0.01  0
11/25/2014 16:10  0 0.01  0
11/25/2014 16:15 0.99 0 0.01  0
11/25/2014 16:20  0.01 0.02  0
11/25/2014 16:25  0 0.02  0
11/25/2014 16:30 1 0 0.02  0
11/25/2014 16:35  0 0.02  0
11/25/2014 16:40  0 0.02  0
11/25/2014 16:45 1 0 0  0
11/25/2014 16:50  0 0  0
11/25/2014 16:55  0 0  0
11/25/2014 17:00 1.01 0 0 55 55
11/25/2014 17:05  0.01 0.01  0
11/25/2014 17:10  0 0.01  0
11/25/2014 17:15 1.02 0 0.01  0
11/25/2014 17:20  0 0.01  0
11/25/2014 17:25  0 0.01  0
11/25/2014 17:30 1.02 0 0  0
11/25/2014 17:35  0 0  0
11/25/2014 17:40  0 0  0
