#STATION,PARAM,TIME,CRITERIA,VALUE,DIST_LIST
#Everybody gets warned on high rainfall
ALL,RAIN,15MIN,TOTAL,0.2,ALL
ALL,RAIN,1HR,TOTAL,0.5,ALL
ALL,RAIN,4HR,TOTAL,1,ALL
ALL,RAIN,24HR,TOTAL,0.5,ALL
#
#Low Battery
#ALL,ANALOG,1HR,MIN,11.5,MAINTENANCE
#
#Depth 
STATION 100,DEPTH,15MIN,MAX,3,ALL
STATION 200,DEPTH,15MIN,MAX,3,ALL
STATION 300,DEPTH,15MIN,MAX,3,ALL
STATION 400,DEPTH,15MIN,MAX,3,ALL
STATION 500,DEPTH,15MIN,MAX,3,ALL
STATION 600,DEPTH,15MIN,MAX,3,ALL
STATION 700,DEPTH,15MIN,MAX,3,ALL
STATION 800,DEPTH,15MIN,MAX,3,ALL
STATION 900,DEPTH,15MIN,MAX,3,ALL
STATION 10000,DEPTH,15MIN,MAX,3,ALL
STATION 1100,DEPTH,15MIN,MAX,4.2,ALL
#12 doesn't have a transducer b/c it's on the roof at AU
#
#Email distribution lists
LIST,EMAIL,0,ALL,wes2@watergeorgia.com 
#,wes@watergeorgia.com,oflite@augustaga.gov,matt.erickson@phinizycenter.org
LIST,EMAIL,1,MAINTENANCE,maint@watergeorgia.com
#
#Text Message Distribution lists
LIST,TEXT,0,ALL,7064145535@txt.att.net:Wes Byne
